,tweet
41,"It makes me angry to look at the mirror, but I look anyway. And you know what I see? a depressed person who is tired of everything and everyone"
42,"i don't understand how it works but i went from super excited to depressed in seconds, and i didn't even move, like what has even happened"
43,"I got in my car after being told my newspaper didn't need a sports section and a sports reporter anymore, after 3 1/2 years of mental torture. Depressed as hell, cut the car on, turned on the radio and this was playing. Made me feel like I was going to get through it."
44,"i'm really depressed, aren't I?"
45,"I haven’t felt this depressed in a very, very long time.."
46,I’m so depressed man
47,Bruh being super depressed is super fun. :)
48,i haven’t taken a decent “selfie” in a minute. niggas been depressed lol
49,@EmersonBarrett A litrle too depressed
50,... Can't wait to be home &amp; go to bed &amp; be all depressed
51,Do u ever feel depressed for no reason but also not depressed at the same time. Because that’s how I  feel right now. 😞
52,"I know one thing, I could NEVER have a long distance relationship. I’ve been without my boyfriend for 5 days and I’m so depressed."
53,"this is my first year being depressed around the holidays. I was depressed AF on thanksgiving I barely ate. then yesterday, I was happy watching my daughter open her gifts and a little while after I just went right back to sulking.. ugh 🤧"
54,"“I’m not anorexic, I’m depressed “ 😂😂😂"
55,"It's one of those days. I was drained physically from work &amp; then mentally after. I really wish things would get better, but I'm afraid that if I keep my hopes up too high &amp; they do start looking up, they'll just crash &amp; burn, like every time before. #depressed #mentalhealth"
56,"@matthaig1 I totally see your point. But also, whenever I share my experience of my mental health with my parents, I am reminded how difficult it is for them to have a depressed daughter and they don't deserve one. Essentially: shut up and be well. And this hurts."
57,Sick of being depressed 😣
58,@MoonlightChoniX Nobody.. I'm just... depressed I think
59,"Semi related notes, I haven't uploaded anything I've made recently and I'm a tad depressed."
60,"@duvall_addie Thanks! I appreciate it!  As I felt worse I slowly cut myself off from others. Typical for folks who're depressed &amp; not feeling well.  When I got really sick, my friends came together to help. Just knowing you've got people who want you to stick around made a huge difference."
61,"Me: I'm not depressed I am just cold and busy. I need my alone time, and doing things like cooking and cleaning are hard when I am frozen.  Me: Doesn't eat often. Uses every dish possible til washing dishes. Avoids socializing fairly often. Good days rly good, bad days rly bad."
62,"Well. Learned what I already knew today, which is that I have fibromyalgia. My pain has been unbelievable and I’m not sure how I can even work or live. I am stressed and depressed and I don’t want to even be conscious right now."
63,"Not happy with my job, my company, my colleagues. haven't pass my probation. feel depressed everyday. colleagues are unfriendly. politics. lost of confidence. and now I couldn't control my emotion.  Should I change my job or hold on to it? Please advice #work #Advice #depressed"
64,"@wht_evss Sorry it took so long everyone, i was busy being depressed lmao"
65,I’m a depressed fuck for my age wow love that
66,haven’t done work for like 2 weeks n been super depressed cba
67,I feel depressed again. So I will stay a bit away from this account. See you another day.
68,"@Emeeks_Uba @jennycocoo @UncleCharles_ That isn't true....I've been depressed even suicidal.....but I was the life of the party...but I even wrote a suicide note... I didn't kill myself cos I'm scared of hell...i was only killing my  pain ,but damn I wanted to go....but I was fun then...but deep down I was bleeding"
69,I guess I am depressed
70,@Love_kupcake18 always crying &amp; depressed 😭🤙🏽
71,Super depressed atm im living the end
72,Ain’t been this depressed ina minute LOL
73,"2019 might be my year 🤷🏽‍♀️   Disclaimer: it might not, I may remain depressed for eternity."
74,I sometimes get sad. I don’t know why. I’m not depressed and I wouldn’t joke about being depressed because it’s a serious issue. I just genuinely feel alone and sad sometimes.
75,Annnddd I'm depressed again...
76,2019 I will be a better vegan I am sorru I am@just depressed rn
77,am i gaining happy weight or am i so depressed i eat everything and that’s why i’m gaining weight ????  https://t.co/OsmdtCS7ah
78,I hate being clinically depressed  you feel attacked for no reason The little things get to you Trying to find an outlet only makes you cry more to the point you feel like you can't breathe Its like half the time you dont know how ur truly happy before
79,i can feel myself getting depressed. fuck that
80,I got really depressed
81,"Me? I’m aaaalllll natural. Naturally depressed, naturally anxious, and naturally awkward. A few can handle this mess  https://t.co/FAAISTD4nG"
82,“I’m so depressed I can’t even blink...”  https://t.co/0rLFL1FzVo
83,The holidays have me feeling super lonely and super depressed. I have no friends and every time I think I might be making some I'm reminded that I shouldn't get my hopes up.
84,force me to tell my psychiatrist i seriously feel like im depressed and that i want her to do something about it and stop only calling it anxiety
85,Fucking hate being depressed
86,Lord I need to shake this depressed state...
87,I’m actually out trying to have fun but I’m sitting here feeling depressed af
88,@loveaIwayskari I’ve never not been depressed so I guess
89,i really be depressed no cap
90,"2019 is going to be just as hard on me as 2018. I'm still depressed and struggling with my suicidal thoughts and my eating disorder, but i swear i'll try to do better. I have to be better to achieve better results in school and at work. 2019 Lena, get yourself fucking together.  https://t.co/CPceESX8iU"
91,sometimes I feel I might be depressed.
92,"@paytonmmusic My mom used to say, ""what do you have to be depressed about? You don't know depressed. "" I told her I wanted to go to therapy. She laughed and called me crazy. I stopped opening up about anything."
93,I love being a depressed 26 year old man who constantly has antagonistic brain worms eating the last remaining serotonin supply I have
94,i've been sleeping so much and lack energy to really move and my body feels weak but i haven't been that depressed lately like i've definitely felt worse so idk what's going on lol
95,"@AMSEarlyCareer Honestly, I was extremely depressed this season. No family around. School and work just became an outlet. Relieved it's over and hoping to get the mental state under control."
96,i sometimes just want to have somebody by my side. somebody that knows me more than i know myself and somebody that admires me the way i am. all those happy couples and my friends telling me about their dates makes me feel depressed instead of happy for them i‘m a terrible person
97,Does anyone else notice that too much time on Instagram makes you feel depressed? And I was fine 10 minutes ago! #mentalhealth
98,i don’t understand why im so depressed tonight
99,Someone I just saw for the first time in twenty years told me I was the same depressed guy as I used to be and I've been depressed ever since.
100,lol I’m pretty depressed atm  https://t.co/OPWFwhBcci
101,im so complicated... like i keep saying im gonna go but deep down part of me wants that person to tell me to stay and discuss whats making me depressed. but like woooah im so needy... damn
102,"i feel so fucked up, so depressed, so useless. i just wanna go to sleep and not wake up ever again.💔🖕🏽🖕🏽🖕🏽"
103,"@yuuripaws Lol me moving from being in college to normal adult life ""Well I'm no longer depressed.... now I live in a constant state of anxiety"""
104,I’m depressed.
105,I cant tell if I'm sleepy bc I'm sick or seasonally depressed
106,"Praise Goooood, hallelujah! I'm still depressed   At war with my conscience, paranoid, can't find that shit  https://t.co/uVvGMizPUz"
107,I'm so depressed
108,"@realgizemy In the last few months, I have been extremely low and depressed but you are absolutely right. It doesn’t mean you are weak. In fact, one thing I have learnt is that I am stronger than I thought I was! Thanks for sharing!"
109,@Mmelulu No idea. I am too depressed now to find out.
110,I haven’t done SHIT for 3 days. Didn’t have work or any other obligations. I’m kinda losing my mind. Lol I’m just glad my house is massive or I might be depressed
111,"im too emotionally unstable, depressed and stressed for a mf to take any more of me than i have now"
112,I feel I’m depressed in the first day of the year.
113,Depressed
114,Now that Christmas is over I can go back to being depressed
115,I remember being stuck in a slump depressed af and nobody was there. 🤷🏻‍♂️
116,@ScrpentQueen (I been depressed since I was a kid. I was raised in a abusive house..)
117,Depressed as fuck. Where the love at?
118,@captivegrant i’m now depressed.
119,I want y’all to know that I’m DEPRESSED. But I’m so grateful I was able to see them live a handful of times 💔❤️
120,being back home just makes me so depressed and I’m already going thru it
121,stressed &amp; depressed
122,praisegod HALLELUJAH im still depressed
123,"@titaniumtori My parents tell me I have no reason to be depressed or anxious, that I don’t know the first thing about it. 14 years, countless bad days, multiple professional diagnoses, and a handful of stays in a hospital mean nothing to them I guess"
124,@MiniLaddd I have been really depressed about this game but I gotta do something about it and I wanna know that you are my friend
125,Im really needy rn but im also super depressed
126,"“I’m depressed so I just wanna get high and listen to great fuckin’ music.”  - Me, 2018"
127,"Every time I’m depressed I legit go watch a movie by myself, so today it’s bumblebee 🤙🏻"
128,God I’m depressed
129,"@latenightsmkay I AM JUST DEPRESSED, I love you too. *its beginning to look a lot like DePrEsSiOn”"
130,"No, that’s why I’m depressed and lonely"
131,iiiiii am depressed
132,Depressed as fuck 🙃
133,am i depressed or tired?: a nobel by me.
134,"I’m psycho smart and depressed, scary combination. I find myself worried about how I will handle certain situations"
135,I’m in the bath drowning myself in wine even though I’m not supposed to drink but like 🤷🏻‍♀️🤷🏻‍♀️. Two cousins (siblings) announced last night that they’re having babies and I’m depressed. When will it be my turn? 🙃
136,I've just been in bed all day feeling super depressed and shit ugh
137,"My physical and mental health has been getting worse these past days, I don't know what's happening but I'm super depressed. Anyways I'm probably going to delete this tweet in an hour or two because it's stupid"
138,I love feeling self-destructive and depressed at midnight. And wanting to die. I LOOOOOVE IT
139,Am I actually depressed or am I just listening to too much of the front bottoms ??
140,"sometimes i feel like i'm drowning, but i am truly so blessed. so next time i'm depressed, someone please smack me in the face :)"
141,Hi I'm depressed and I don't want to leave my bed.... Like ever.
142,no offense byt im DEPRESSED
143,Some of us are depressed Christine
144,"I’ve been depressed as heckkkk &amp; my social anxiety is in full force, but I was able to force myself to go to the gym. 🏋🏽‍♀️ #progress #depression #mentalillness #mentalhealth #gym #anxiety #bodydysmorphia #ocd #bdd #bodydysmorphicdisorder  https://t.co/vSICYP8ss3"
145,Shits happens#depressed  https://t.co/CiVTcABUtA
146,i'm depressed
147,I need to draw more but im tiiiiiired  and sorta depressed but thats not the point
148,Getting drunk while deeply depressed &amp; sitting in a dark room is how my night is going.
149,"It may get a lil bit depressed from now, don’t mind me"
150,Aint no pill in the world gone stop my depressed ass from killing myself
151,"depressed, very depressed"
152,"I love my family, but I get depressed &amp; unmotivated if I stay in Augusta longer than a week."
153,I don't think I've been this depressed or worried in over a year. I really thought I'd never feel like this again.
154,I’m BIG depressed
155,Is it normal if my moods switch really fast between really happy and really depressed? Or is it just because of the time of the year?
156,BEEN THIS DEPRESSED IN A VERY VERY VERY LONG TIME MIGHT B DYING STAY TUNED.... its been one of my ex bf post public mental
157,The way I’ve been eating today I’m either depressed or about to come on... 🙄 Both of these options suck!
158,Can’t explain how depressed I am at the fact I’m not out and I’m at work tomorrow #FML
159,Feel so depressed being back in work tomorrow :(
160,Depressed
161,I'm fucking depressed I hate it There's no reason for it wtf  But will I reach for help ? Of course not bc I'm a dumbass 🙃
162,am i depressed or just lonely and horny
163,"I have cried like 5-7 times in this time and i just feel insecure, depressed and anxious."
164,Also am I depressed or am I tired 😂
165,I am so fucking depressed again
166,@giawbrina I’m a depressed gay
167,"Arms are numb from drinking this week, depressed. Gym bill is past due to clean out my system, bank account negative. Not so bad, I hear how many bitcoin traders offed themselves."
168,@ImAllexx I'm depressed and I appreciate you so you're helping at least one person.
169,Sooo That’s why I’m depressed and single  Ok
170,"@adultswim I can be sad and depressed everywhere i want, i just don't show it anywhere."
171,i was so depressed of everything!
172,I'm so distracted and depressed today where I locked myself out of my house
173,@haalleey @christoferdrew i’m depressed
174,I'm drinking gin which tends to make you depressed so now I'm crying a little over Total Eclipse of the Heart by Bonnie Tyler help me
175,I’m such a depressed person but you would never know it
176,@MiniLaddd I have been depressed
177,i wont admit to myself that im depressed bc i relate it to sadness&amp; how i dont feel “sad” but then music doesnt sound good anymore &amp; i dont find comedies funny &amp; i cant motivate myself to do things that are productive &amp; i oversleep in the mornings but cant fall asleep at night
178,all this holiday did was make me feel lonely and depressed
179,"@UncleCharles_ @ceonigeria_ Even me that I'm not depressed, I find it very very hard to open up to someone close to me"
180,i am depressed  https://t.co/4yrHMxTyjR
181,Depressed in this house 😥
182,"I can admit, I've been depressed, I hit the wall, ouch"
183,Feeling depressed
184,alright! i am depressed
185,I'm depressed.
186,i’m fuckin depressed
187,"@muhd_m86 Unfortunately I'm still depressed, if u notice from November I haven't been hyperactive on Twitter so I now invest my time in looking for opportunities even abroad to see how I can help them after the test.  If I succeed to an extent maybe I will come out of depression.  😢😢😢"
188,"Depressed about my weight, so I’m just having mulled wine to try and block it out"
189,@BeulahOnoh I've been depressed. It's a very terrible thing..Sometimes even talking to people doesn't change it. You just need to change atmosphere and feel new things. It was a book i read that helped me.
190,Am I actually depressed or am I just hungry
191,I’m quitting YouTube no one cares about me anymore I’m going through issues right now I’m depressed and feeling hopeless and I started to cut again so who gives a damn about me I’m done signing off
192,"Went to the doctors today and she asked if I was feeling depressed lately, had to lie and say no."
193,I’ve been depressed all my life. Last night was one of the worst times I’ve cried in so long.. it hurts. My eyes hurt. My heart hurts.  But I know it will get better.
194,Feeling so depressed
195,I’m so depressed lol
196,I feel myself getting super depressed
197,i dont think i have ever been this depressed
198,I Just Know I’m Finna Be Sick &amp;&amp; Depressed 😩
199,i stay depressed 🚫🧢
200,@larryxstylinsun I feel old and sad and depressed and idk I feel everything bad xD
201,i’m already depressed so w.e
202,im depressed AND horny ALL THE TIME soooooo maybe an anti-depressant is the perfect solution?!??!
203,I've seriously gained back a ton of the weight I loss in 2017 and I swing back and forth between being pissed and depressed about it.   But something must be done.
204,"I'm sad, lonely, depressed, anxiety, anxious, tired, upset and heart broken, who give this is me?"
205,Is it bad that I quit playing guitar normally because I had no motivation to do anything and how I slowed down on streaming because I had no motivation to do anything? I am so damn depressed.
206,Anyone else feeling depressed and pissy today? Lolol 😭
207,"Wow I feel depressed af Yay, i want to go lay in my bed"
208,Christmas finally over! Now I can continue being depressed as normal 😂🥳
209,i have a date in two &amp; a half hours but i’m depressed as F U C K and want to cancel but i also don’t want to let my mental illness ruin my life someone pls help
210,Feel so depressed at the moment lmao. Think I need to start taking my medication daily again at this point.
211,I definitely binge eat when I’m feeling depressed or a lot of anxiety. That’s two things I can count on over the holidays. Lots of anxiety and lots of readily available food. 😒
212,Damn im really trying to be positive but something just hit me like a truck and I’m really depressed now
213,If any of my ct friends wanna hangout today let me know I’m feeling hella depressed and want company I think
214,"Sometimes I just want to scream at my family, ""Do you have any idea how depressed I am?"" but mine is not the type of family to believe in mental illness. I'd be dubbed a drama queen and thrown right back into that lonely rhythm."
215,"Number one problem of mine. I’m a Clinically depressed introverted extrovert. I need to be surrounded by purpose and people at all times, but those two things give me mad anxiety. It’s a fun time."
216,@AemunSh3rwanee_ I have a good track record. I ll be a good companion trust me. By the way i m always depressed. It's just sometimes you have to pretend otherwise.
217,"I wonder if I should go see a doctor, lately I been feeling empty, not hungry, not eating much, tired and depressed, could something be wrong with me?"
218,@christoferdrew im depressed as fck now
219,"I'm miserable. Even though, the holidays were supposed to make me happy and cheery. I'm miserable and sad, could even say I'm depressed"
220,Maybe I'm depressed?
221,I was real life depressed last night dear god
222,@callmechris316 @C_F_E_G_L I returned to work today.  I am so bored. And depressed.  I want to retire.
223,The most depressed I been my entire life
224,oh i’m DEPRESSED depressed
225,Sick and depressed
226,literally I can’t win I was depressed and miserable before Christmas and finally for one holiday I smiled and now I feel more depressed and miserable 🤷‍♀️ f winter and life sometimes @…  https://t.co/GhnPiwG4Xg
227,"I am dying on the inside. I am the most depressed, tired and introverted I have been all year in this last week that I have had to non-stop spend time with people. To boot it's all unique/special occasions or people who have been out of the state all year so I can't bail."
228,*depressed
229,"i mean,,, i have many happy memories of this year but i also can't remmeber any other year when i felt so depressed and miserable so often so there's that"
230,"Im going into 2019 single as fuck, depressed as fuck, jobless since 2 weeks before Christmas, recently lost a family member, and huge issues with social anxiety and motivation. So honestly, im ready for 2020."
231,im depressed. i gotta start all OVER again ;0;9 RIP my outfits and whatever else i had...salmon run shiz GONE &lt;/3 #Splatoon2 #NintendoSwitch  https://t.co/UqfzTA8LT0
232,"@UncleCharles_ Told my husband i was depressed and he asked me who diagnosed me! Lol, i understood why ppl bottle up when depressed."
233,"When I tell people I'm feeling depressed they're always like ""Ohh noo why?"". Maybe, it's because it's a mental illness, Susan."
234,@__naadia I am depressed  too
235,"@ImAllexx I usually reply ""sike, I'm always depressed :)"""
236,"Part of me is feeling seriously depressed, other part of me wants to ugly cry and other side of me wants to just get seriously drunk and high. 😓"
237,I’m happy to be around my family and my sisters but I am so fucking depressed. I’m glad it’s sunny here at least. Im just.... so fucking over it man. Seriously.
238,I may b depressed but ya gurl is making moves in 2019.
239,The best part about being depressed during the holidays is not having to drive my son to and from school.
240,"I’m ready for the new year. I’m ending this year a lot more depressed than how I started it, but I’ve learned a lot. Now, to put everything I’ve learned to make the next better 😊"
241,Don’t know if I’m depressed or I actually want to cut my bangs.
242,"I'm sad, lonely, depressed, anxiety, anxious, tired, upset and heart broken, who give this is me?"
243,"I really don’t know... paid up all my debts and still made N600k... great family , no house issues , great job!   Why the fuck am I depressed 😢"
244,feeling depressed
245,"I was depressed and no one knew, I was crying morning, afternoon and night. Not my mother, not my brothers and we live under the same roof, seeing ourselves every time, in fact, I seemed so happy. Depression is not explainable jare"
246,"“Been a bad year doc, haven’t hit a target, markets are harsh and uncertain. I’m depressed.”  “Take a break from the charts. The great shitposter is back and should pick you back up with his memes”  Trader bursts into tears.   “But doc, I am the great shitposter... I am the meme”"
247,"@EmersonBarrett Imma be real with you man, depressed is where I’m at"
248,"my mom just called me a ""depressed suicidal teenager"" and I've never felt more like shit in my life..."
249,Now I’m depressed and wana go back to bed lol
250,@EmersonBarrett I’d like to say nice but depressed is probably the more fitting
251,@EmersonBarrett Depressed
252,am i confusing depression with loneliness? or am i depressed because i’m lonely?
253,@EmersonBarrett Definitely depressed 😂💛
254,@EmersonBarrett Depressed af
255,I dont feel mentally calm or stable now after a work counselling and just want to crawl in bed still got about 5hrs more to go until im off work #depressed #mentalbreakdownfeeling #adhd #moodswings #autism #depression #mentalhealth
256,someone rp with me im bored and depressed
257,"Everyone thinks I’m living the best life but if ima be honest this shit sucks complete ass, tired of being depressed"
258,When did I become this depressed..
259,sucks being depressed but! we’ll isolate i guess
260,"Tomorrow it's back to #jobhunting. Just thinking about it makes me feel exhausted/anxious/depressed. In all likelihood I will have to take something that isn't even close to what I studied so hard for. I feel like a failure. I'm sorry, I just had to get this out."
261,it didn't even feel like the holidays probably because I was slightly depressed the whole time. can't wait for the new year &amp; to get out of this slumpy rut i'm in.
262,One thing I hate about being depressed/suicidal is that my family feels they can pick and choose what information they “think” I can handle.
263,IM DEPRESSED IM LOLNELY IM TIRED I WANNA FUCKING DIE I HATE MY LIFE AND NO  ONE CARES ABOUT ME FUCK ME
264,@EmersonBarrett Depressed
265,"@janpow1950 I don't know everything seems fucking useless, talking to someone doesn't do anything. I don't know what to do. I don't feel I'm a risk to myself, just cripplingly depressed and I want out of feeling this way but don't know how."
266,I been depressed &amp; bitter for a couple of years💔💔 But I'm woke now👀
267,I been depressed since Monday. Somebody get me out of this funk 😪
268,What are you supposed to do when your exhausted and you want the next two days to go by as fast as possible but you feel to much like a piece of shit and are too depressed to sleep 💔
269,shit you know im depressed when i do this shit
270,watching some #Netflix because i'm depressed af
271,Anddddd now I’m depressed.
272,I miss Christmas already I think I’m actually depressed
273,I can’t believe I’m going in to 2019 depressed as fuck damn   https://t.co/fuAQj7eOxQ
274,I’m depressed
275,I’m so depressed
276,I'm so sad and depressed it's not even funny anymore
277,@EmersonBarrett depressed
278,"I get depressed easily, little things can set it off, But I have someone I can always talk to."
279,"@hespirituaI depressed , bipolar , borderline personality disorder... and image having all them traits passed down to you 🤧"
280,Too anxious.. Too depressed.. just digging deeper and deeper into my familiar hole
281,To be honest I’ve been pretty depressed until I took some medicine for it
282,"So, is the constant urge to light myself on fire come from being a deeply depressed autistic person, or from spending too much time on social media? NOBODY KNOWS!"
283,Depressed before bed Alone in company  Numb always
284,@EmersonBarrett Depressed
285,"I might be depressed af, but if your vibe is way too good, I won’t let you in on my problems and fuck it up for you. Live your happy life man, enjoy that shit. Lord knows I wouldn’t want anyone to bring me down my high. So don’t worry about me. Enjoy."
286,"No, I am not 'in a huff' and no, I'm not just 'sensitive today'. I'm depressed and I'm consumed by building rage. Patronising me is not helping. #keeptalkingmh"
287,@IchBinHaltKrass I'm sorry for my depressed ass
288,I don't talk to a lot of people anymore. More often then not they either depress me or they want something.
289,I'm already depressed just thinking abt my birthday lol
290,Depressed and pissed
291,"lol its ma brithday and im really depressed cause i never wanted to born to be this hurt. if this is the life that i have, then i dont want it."
292,telling everyone at work that I’m sick so they don’t figure out how depressed I am
293,I knew I was reaaaally depressed when I slept the whole day on CHRISTMAS.
294,I'm depressed 😢😢😢😢😢😢😢😢😢😢😢😢
295,Tbh probably just depressed
296,SO FUCKIN DEPRESSED
297,Depressed
298,"I’m not surprised that I’m feeling a bit depressed today,, I really just wanna lay in bed and possibly cry for an hour or two,, maybe I’ll cry when my family is gone."
299,"Idk if I’m depressed, PMS’n or pregnant but something is definitely going on"
300,depressed
301,I don't know if I should tweet about this... but I feel like writing down what's going on in my head might help me. #depressed #depression #relationship #relationships 1/12
302,the amount of work I got to do this break making me depressed 😭 .
303,What’s a depressed bitch gotta do around here to get held
304,"I'm really depressed today, hurt myself again and was a total wreck in general. I need to get better at living."
305,I’m being controled by random and different circumstances and i feel so fucking depressed :(
306,I'm really depressed... ;;;;; Huggu someone. #CloverBot
307,Well I woke up depressed asf lol
308,depressed but what’s new
309,Imagine being able to just cease being depressed. I could never 😩😩
310,@EmersonBarrett depressed like always
311,So depressed lol
312,me when im depressed
313,"Felt Depressed, unwish to live.. sad no much music can help much!! How long did I had to keep on it?  https://t.co/gK8ws2Nvdf"
314,Im so depressed and Idek why
315,"Stressed, depressed, or just need advice or someone to hear you out DM   The Convo #EverybodyneedsSomebody"
316,Just so frustrating I’m so depressed and anxious but I have no reason to be??? Cba
317,Why am I so depressed and angry all the time?
318,Depressed but reading @chelseaperetti tweets so like depressed with a smile
319,on my way to a family event and...i’m depressed  https://t.co/NFnsTcjbtw
320,@EmersonBarrett Depressed 24/7
321,"im depressed, i loved someone and i noticed he never even liked me, i dont know what to do any more — Tbh el ryal mb m’39oob dam ma y7bch w 3gb gulo men are players, men are trash … for real you silly girls fuck off and m…  https://t.co/3azfyJXIVm"
322,to depressed to talk to anyone
323,I want her back .... im so depressed rn
324,"My brain is broken. Like I  don't know if I've been this depressed in years, but I did bang out an updated resume for my recruiter and I showered and put on clothes like an goddamn adult."
325,Depressed
326,"I'm just wondering how depressed I will get to want to take my own life!!!! May it never get to that stage, dear Jesus!🙏"
327,I am so depressed
328,@EmersonBarrett Been nice and depressed for nearly 3 years but it comes with the territory at this point.
329,@EmersonBarrett Depressed
330,finally shaved so it looks like im less depressed than i actually am 😌
331,Feel depressed for some reason today smh
332,depressed
333,@EmersonBarrett Depressed. Definitely depressed.
334,@salice_roseee Depressed af man ...
335,"Gay, depressed and anxious"
336,I just want to be happy. I’m so tired of being depressed and sad all the time.
337,"What if I’m not depressed, what if I really just suck ?"
338,o fuck. i’m a depressed.
339,idk what to do anymore :( just getting more and more depressed sitting in my room alone crying every second that im not in work
340,I'm at the point where I don't even get mad at myself when I fail. I just get more depressed.
341,i woke up feeling depressed asf ye ye
342,I am v v v depressed right now.  https://t.co/GLMh0czZ4i
343,I’m so fucking depressed right now
344,Depressed
345,@EmersonBarrett Definitely depressed
346,@EmersonBarrett depressed
347,@EmersonBarrett Depressed hhhhh
348,"@EmersonBarrett I always depressed, kid"
349,@EmersonBarrett Depressed
350,@VeD_DeV Depressed
351,@EmersonBarrett depressed
352,I turned 21 today am I supposed to feel less depressed?
353,*Insert Depressed Tweet Here*
354,Is it bad that I’m JUST now getting out of bed and getting my day started!? I swear I been hella depressed ever since last weekend..good god..man I have no energy all I wanna do is sleep and cry and sometimes get adorable and take pictures....I don’t know! This is so annoying...!
355,i’m so depressed ugh wow.
356,So depressed and feeling like i miss something or someone idk 😂💔
357,"Jokes on you, I’m already depressed"
358,i’m literally depressed lol 🙂
359,I’ve been very depressed lately &amp; honestly I blame myself because I knew what was the right thing for me to do but I was so stupid I didn’t believe in myself
360,"I have trust issue, it's one of the reasons I keep my depressed self far away from people"
361,i am depressed again welcome back
362,@Shal_white I’m depressed. Hope you’re happy
363,Depressed + but I’m lit
364,"Please ask things, I'm depressed.  https://t.co/oKTNtUDZTe"
365,it really fucking sucks being depressed during the holidays. it’s so unbelievably frustrating that half my brains is shut down and i barely have energy to talk at a time when everything is supposed to be fun and happy. i’m an enormous buzzkill and i hate everything about it.
366,"Im very depressed today. I allowed myself over a month of binging and i GAINED A TON. Today i was gona get back into restricting, but nope, i fucking binged. My dad was home so i couldnt purge (wanted to tho). But i did have a good holiday. I just wana die bc i gained.  https://t.co/QR3Iq3InsH"
367,You ever been depressed about something that you did 😭 me af right now
368,I’m depressed now. Thank you.
369,Apparently I'm gonna be super depressed today? Ok....? This is inconvenient.
