,tweet
36,"['okay', 'okay', 'thanks', 'holidays', 'i', 'feel', 'tired', 'bloated', 'exhausted', 'migraines', 'fat', 'anxiety', 'overload', 'stressed', 'lazy', 'depressed', 'etc', 'thanks', 'minis', 'i', 'dont']"
37,"['i', 'depressed', 'point', 'i', 'm', 'literally', 'walk', 'bitch']"
38,"['advice', 'kinda', 'look', 'better', 'question', 'depression', 'got', 'types', 'ugly', 'need', 'easy', 'things', 'look', 'not', 'as', 'depressed', 'lol']"
39,"['friends', 'school', 'hoe', 'honestly', 'i', 'didnt', 'care', 'bullying', 'i', 'embarrassed', 'everybody', 'seen', 'naked', 'i', 'super', 'insecure', 'body', 'i', 'lonely', 'fuck', 'i', 'nobody', 'i', 'terribly', 'depressed']"
40,"['when', 'i', 'am', 'depressed', 'i', 'do', 'not', 'eat', 'i', 'sleep', 'much', 'not', 'enough', 'i', 'love', 'weed', 'forces', 'eat', 'matter', 'i', 'am', 'feeling', 'plant', 'based', 'meds', 'gift', 'god']"
41,"['it', 'makes', 'angry', 'look', 'mirror', 'i', 'look', 'anyway', 'and', 'know', 'i', 'see', 'depressed', 'person', 'tir']"
42,"['do', 'not', 'understand', 'works', 'went', 'super', 'excited', 'depressed', 'seconds', 'did', 'not', 'move', 'like', 'happen']"
43,"['i', 'got', 'car', 'told', 'newspaper', 'did', 'not', 'need', 'sports', 'section', 'sports', 'reporter', 'anymore', '2', 'years', 'mental', 'torture', 'depressed', 'hell', 'cut', 'car', 'on', 'turned', 'radio', 'playing', 'made', 'feel', 'like', 'i', 'going', 'it']"
44,"['i', 'm', 'depressed', 'are', 'not', 'i']"
45,"['i', 'havent', 'felt', 'depressed', 'very', 'long', 'time']"
46,"['im', 'depressed', 'man']"
47,"['bruh', 'super', 'depressed', 'super', 'fun']"
48,"['havent', 'taken', 'decent', 'selfie', 'minute', 'niggas', 'depressed', 'lol']"
49,"['a', 'litrle', 'depress']"
50,"['can', 't', 'wait', 'home', 'amp', 'bed', 'amp', 'depress']"
51,"['do', 'u', 'feel', 'depressed', 'reason', 'depressed', 'time', 'because', 'thats', 'i', 'feel', 'right', 'now']"
52,"['i', 'know', 'thing', 'i', 'never', 'long', 'distance', 'relationship', 'ive', 'boyfriend', 'days', 'im', 'depressed']"
53,"['year', 'depressed', 'holidays', 'i', 'depressed', 'af', 'thanksgiving', 'i', 'barely', 'ate', 'yesterday', 'i', 'happy', 'watching', 'daughter', 'open', 'gifts', 'little', 'i', 'went', 'right', 'sulking', 'ugh']"
54,"['im', 'anorexic', 'im', 'depress']"
55,"['it', 's', 'days', 'i', 'drained', 'physically', 'work', 'amp', 'mentally', 'after', 'i', 'wish', 'things', 'better', 'i', 'am', 'afraid', 'i', 'hopes', 'high', 'amp', 'start', 'looking', 'up', 'they', 'll', 'crash', 'amp', 'burn', 'like', 'time', 'before']"
56,"['i', 'totally', 'point', 'but', 'also', 'i', 'share', 'experience', 'mental', 'health', 'parents', 'i', 'reminded', 'difficult', 'depressed', 'daughter', 'do', 'not', 'deserve', 'one', 'essentially', 'shut', 'well', 'and', 'hurts']"
57,"['sick', 'depress']"
58,"['nobody', 'i', 'am', 'just', 'depressed', 'i', 'think']"
59,"['semi', 'related', 'notes', 'i', 'have', 'not', 'uploaded', 'i', 'have', 'recently', 'i', 'am', 'tad', 'depressed']"
60,"['thanks', 'i', 'appreciate', 'it', 'as', 'i', 'felt', 'worse', 'i', 'slowly', 'cut', 'others', 'typical', 'folks', 'who', 're', 'depressed', 'amp', 'feeling', 'well', 'when', 'i', 'got', 'sick', 'friends', 'came', 'help', 'just', 'knowing', 'you', 'have', 'got', 'people', 'want', 'stick', 'huge', 'difference']"
61,"['me', 'i', 'am', 'depressed', 'i', 'cold', 'busy', 'i', 'need', 'time', 'things', 'like', 'cooking', 'cleaning', 'hard', 'i', 'frozen', 'me', 'doesn', 't', 'eat', 'often', 'uses', 'dish', 'possible', 'til', 'washing', 'dishes', 'avoids', 'socializing', 'fairly', 'often', 'good', 'days', 'rly', 'good', 'bad', 'days', 'rly', 'bad']"
62,"['well', 'learned', 'i', 'knew', 'today', 'i', 'fibromyalgia', 'my', 'pain', 'unbelievable', 'im', 'sure', 'i', 'work', 'live', 'i', 'stressed', 'depressed', 'i', 'dont', 'want', 'conscious', 'right', 'now']"
63,"['not', 'happy', 'job', 'company', 'colleagues', 'have', 'not', 'pass', 'probation', 'feel', 'depressed', 'everyday', 'colleagues', 'unfriendly', 'politics', 'lost', 'confidence', 'i', 'could', 'not', 'control', 'emotion', 'should', 'i', 'change', 'job', 'hold', 'it', 'please', 'advic']"
64,"['sorry', 'took', 'long', 'everyone', 'busy', 'depressed', 'lmao']"
65,"['im', 'depressed', 'fuck', 'age', 'wow', 'lov']"
66,"['havent', 'work', 'like', 'weeks', 'n', 'super', 'depressed', 'cba']"
67,"['i', 'feel', 'depressed', 'again', 'so', 'i', 'stay', 'bit', 'away', 'account', 'see', 'day']"
68,"['that', 'is', 'not', 'true', 'i', 'have', 'depressed', 'suicidal', 'but', 'i', 'life', 'party', 'but', 'i', 'wrote', 'suicide', 'note', 'i', 'did', 'not', 'kill', 'cos', 'i', 'am', 'scared', 'hell', 'i', 'killing', 'pain', 'but', 'damn', 'i', 'wanted', 'go', 'but', 'i', 'fun', 'then', 'but', 'deep', 'i', 'bleed']"
69,"['i', 'guess', 'i', 'depress']"
70,"['crying', 'amp', 'depress']"
71,"['super', 'depressed', 'atm', 'im', 'living', 'end']"
72,"['aint', 'depressed', 'ina', 'minute', 'lol']"
73,"['year', 'disclaimer', 'not', 'i', 'remain', 'depressed', 'eternity']"
74,"['i', 'sad', 'i', 'dont', 'know', 'why', 'im', 'depressed', 'i', 'wouldnt', 'joke', 'depressed', 'issue', 'i', 'genuinely', 'feel', 'sad', 'sometimes']"
75,"['annnddd', 'i', 'am', 'depressed', 'again']"
76,"['i', 'better', 'vegan', 'i', 'sorru', 'i', 'depressed', 'rn']"
77,"['gaining', 'happy', 'weight', 'depressed', 'eat', 'thats', 'im', 'gaining', 'weight']"
78,"['i', 'hate', 'clinically', 'depressed', 'feel', 'attacked', 'reason', 'the', 'little', 'things', 'trying', 'outlet', 'makes', 'point', 'feel', 'like', 'cannot', 'breathe', 'its', 'like', 'half', 'time', 'dont', 'know', 'ur', 'truly', 'happi']"
79,"['feel', 'getting', 'depressed', 'fuck']"
80,"['i', 'got', 'depress']"
81,"['me', 'im', 'aaaalllll', 'natural', 'naturally', 'depressed', 'naturally', 'anxious', 'naturally', 'awkward', 'a', 'handle', 'mess']"
82,"['im', 'depressed', 'i', 'blink']"
83,"['the', 'holidays', 'feeling', 'super', 'lonely', 'super', 'depressed', 'i', 'friends', 'time', 'i', 'think', 'i', 'making', 'i', 'am', 'reminded', 'i', 'should', 'not', 'hopes', 'up']"
84,"['force', 'tell', 'psychiatrist', 'seriously', 'feel', 'like', 'im', 'depressed', 'want', 'stop', 'calling', 'anxieti']"
85,"['fucking', 'hate', 'depress']"
86,"['lord', 'i', 'need', 'shake', 'depressed', 'state']"
87,"['im', 'actually', 'trying', 'fun', 'im', 'sitting', 'feeling', 'depressed', 'af']"
88,"['ive', 'depressed', 'i', 'guess']"
89,"['depressed', 'cap']"
90,"['going', 'hard', 'i', 'am', 'depressed', 'struggling', 'suicidal', 'thoughts', 'eating', 'disorder', 'swear', 'i', 'll', 'try', 'better', 'i', 'better', 'achieve', 'better', 'results', 'school', 'work', 'lena', 'fucking', 'together']"
91,"['i', 'feel', 'i', 'depressed']"
92,"['my', 'mom', 'say', 'what', 'depressed', 'about', 'you', 'do', 'not', 'know', 'depressed', 'i', 'told', 'i', 'wanted', 'therapy', 'she', 'laughed', 'called', 'crazy', 'i', 'stopped', 'opening', 'anything']"
93,"['i', 'love', 'depressed', 'year', 'old', 'man', 'constantly', 'antagonistic', 'brain', 'worms', 'eating', 'remaining', 'serotonin', 'supply', 'i']"
94,"['i', 've', 'sleeping', 'lack', 'energy', 'body', 'feels', 'weak', 'have', 'not', 'depressed', 'lately', 'like', 'i', 've', 'definitely', 'felt', 'worse', 'idk', 'what', 'is', 'going', 'lol']"
95,"['honestly', 'i', 'extremely', 'depressed', 'season', 'no', 'family', 'around', 'school', 'work', 'outlet', 'relieved', 'it', 'is', 'hoping', 'mental', 'state', 'control']"
96,"['want', 'somebody', 'side', 'somebody', 'knows', 'know', 'somebody', 'admires', 'way', 'am', 'happy', 'couples', 'friends', 'telling', 'dates', 'makes', 'feel', 'depressed', 'instead', 'happy', 'im', 'terrible', 'person']"
97,"['does', 'notice', 'time', 'instagram', 'makes', 'feel', 'depressed', 'and', 'i', 'fine', 'minutes', 'ago']"
98,"['dont', 'understand', 'im', 'depressed', 'tonight']"
99,"['someone', 'i', 'saw', 'time', 'years', 'told', 'i', 'depressed', 'guy', 'i', 'i', 'have', 'depressed', 'since']"
100,"['lol', 'im', 'pretty', 'depressed', 'atm']"
101,"['im', 'complicated', 'like', 'saying', 'im', 'gonna', 'deep', 'wants', 'person', 'tell', 'stay', 'discuss', 'whats', 'making', 'depressed', 'like', 'woooah', 'im', 'needy', 'damn']"
102,"['feel', 'fucked', 'up', 'depressed', 'useless', 'wanna', 'sleep', 'wake', 'again']"
103,"['lol', 'moving', 'college', 'normal', 'adult', 'life', 'well', 'i', 'am', 'longer', 'depressed', 'i', 'live', 'constant', 'state', 'anxiety']"
104,"['im', 'depressed']"
105,"['i', 'tell', 'i', 'am', 'sleepy', 'bc', 'i', 'am', 'sick', 'seasonally', 'depress']"
106,"['praise', 'goooood', 'hallelujah', 'i', 'am', 'depressed', 'at', 'war', 'conscience', 'paranoid', 'cannot', 'shit']"
107,"['i', 'am', 'depress']"
108,"['in', 'months', 'i', 'extremely', 'low', 'depressed', 'absolutely', 'right', 'it', 'doesnt', 'mean', 'weak', 'in', 'fact', 'thing', 'i', 'learnt', 'i', 'stronger', 'i', 'thought', 'i', 'was', 'thanks', 'sharing']"
109,"['no', 'idea', 'i', 'depressed', 'out']"
110,"['i', 'havent', 'shit', 'days', 'didnt', 'work', 'obligations', 'im', 'kinda', 'losing', 'mind', 'lol', 'im', 'glad', 'house', 'massive', 'i', 'depress']"
111,"['im', 'emotionally', 'unstable', 'depressed', 'stressed', 'mf']"
112,"['i', 'feel', 'im', 'depressed', 'day', 'year']"
113,['depress']
114,"['now', 'christmas', 'i', 'depress']"
115,"['i', 'remember', 'stuck', 'slump', 'depressed', 'af', 'there']"
116,"['i', 'depressed', 'i', 'kid', 'i', 'raised', 'abusive', 'house']"
117,"['depressed', 'fuck', 'where', 'love', 'at']"
118,"['im', 'depressed']"
119,"['i', 'want', 'yall', 'know', 'im', 'depressed', 'but', 'im', 'grateful', 'i', 'able', 'live', 'handful', 'tim']"
120,"['home', 'makes', 'depressed', 'im', 'go']"
121,"['stressed', 'amp', 'depress']"
122,"['praisegod', 'hallelujah', 'im', 'depress']"
123,"['my', 'parents', 'tell', 'i', 'reason', 'depressed', 'anxious', 'i', 'dont', 'know', 'thing', 'it', 'years', 'countless', 'bad', 'days', 'multiple', 'professional', 'diagnoses', 'handful', 'stays', 'hospital', 'mean', 'i', 'guess']"
124,"['i', 'depressed', 'game', 'i', 'gotta', 'i', 'wanna', 'know', 'friend']"
125,"['im', 'needy', 'rn', 'im', 'super', 'depress']"
126,"['im', 'depressed', 'i', 'wanna', 'high', 'listen', 'great', 'fuckin', 'music', 'me']"
127,"['every', 'time', 'im', 'depressed', 'i', 'legit', 'watch', 'movie', 'myself', 'today', 'bumblebe']"
128,"['god', 'im', 'depress']"
129,"['i', 'am', 'just', 'depressed', 'i', 'love', 'too', 'its', 'beginning', 'look', 'lot', 'like', 'depress']"
130,"['no', 'thats', 'im', 'depressed', 'lon']"
131,"['iiiiii', 'depress']"
132,"['depressed', 'fuck']"
133,"['depressed', 'tired', 'nobel', 'me']"
134,"['im', 'psycho', 'smart', 'depressed', 'scary', 'combination', 'i', 'worried', 'i', 'handle', 'certain', 'situ']"
135,"['im', 'bath', 'drowning', 'wine', 'im', 'supposed', 'drink', 'like', 'two', 'cousins', 'siblings', 'announced', 'night', 'theyre', 'having', 'babies', 'im', 'depressed', 'when', 'turn']"
136,"['i', 'have', 'bed', 'day', 'feeling', 'super', 'depressed', 'shit', 'ugh']"
137,"['my', 'physical', 'mental', 'health', 'getting', 'worse', 'past', 'days', 'i', 'do', 'not', 'know', 'what', 'is', 'happening', 'i', 'am', 'super', 'depressed', 'anyways', 'i', 'am', 'probably', 'going', 'delete', 'tweet', 'hour', 'it', 'is', 'stupid']"
138,"['i', 'love', 'feeling', 'self', 'destructive', 'depressed', 'midnight', 'and', 'wanting', 'die', 'i', 'looooove', 'it']"
139,"['am', 'i', 'actually', 'depressed', 'i', 'listening', 'bottoms']"
140,"['feel', 'like', 'i', 'm', 'drowning', 'truly', 'blessed', 'time', 'i', 'm', 'depressed', 'smack', 'fac']"
141,"['hi', 'i', 'am', 'depressed', 'i', 'do', 'not', 'want', 'leave', 'bed', 'like', 'ever']"
142,"['offense', 'byt', 'im', 'depress']"
143,"['some', 'depressed', 'christin']"
144,"['ive', 'depressed', 'heckkkk', 'amp', 'social', 'anxiety', 'force', 'i', 'able', 'force', 'gym']"
145,"['shits', 'happen']"
146,"['i', 'm', 'depress']"
147,"['i', 'need', 'draw', 'im', 'tiiiiiired', 'sorta', 'depressed', 'thats', 'point']"
148,"['getting', 'drunk', 'deeply', 'depressed', 'amp', 'sitting', 'dark', 'room', 'night', 'going']"
149,"['it', 'lil', 'bit', 'depressed', 'now', 'dont', 'mind']"
150,"['aint', 'pill', 'world', 'gone', 'stop', 'depressed', 'ass', 'kil']"
151,"['depressed', 'depress']"
152,"['i', 'love', 'family', 'i', 'depressed', 'amp', 'unmotivated', 'i', 'stay', 'augusta', 'longer', 'week']"
153,"['i', 'do', 'not', 'think', 'i', 'have', 'depressed', 'worried', 'year', 'i', 'thought', 'i', 'would', 'feel', 'like', 'again']"
154,"['im', 'big', 'depress']"
155,"['is', 'normal', 'moods', 'switch', 'fast', 'happy', 'depressed', 'or', 'time', 'year']"
156,"['been', 'this', 'depressed', 'in', 'a', 'very', 'very', 'very', 'long', 'time', 'might', 'b', 'dying', 'stay', 'tuned', 'ex', 'bf', 'post', 'public', 'ment']"
157,"['the', 'way', 'ive', 'eating', 'today', 'im', 'depressed', 'come', 'on', 'both', 'options', 'suck']"
158,"['cant', 'explain', 'depressed', 'i', 'fact', 'im', 'im', 'work', 'tomorrow']"
159,"['feel', 'depressed', 'work', 'tomorrow']"
160,['depress']
161,"['i', 'am', 'fucking', 'depressed', 'i', 'hate', 'there', 's', 'reason', 'wtf', 'but', 'i', 'reach', 'help', 'of', 'course', 'bc', 'i', 'am', 'dumbass']"
162,"['depressed', 'lonely', 'horni']"
163,"['i', 'cried', 'like', '7', 'times', 'time', 'feel', 'insecure', 'depressed', 'anxious']"
164,"['also', 'i', 'depressed', 'i', 'tir']"
165,"['i', 'fucking', 'depress']"
166,"['im', 'depressed', 'gay']"
167,"['arms', 'numb', 'drinking', 'week', 'depressed', 'gym', 'past', 'clean', 'system', 'bank', 'account', 'negative', 'not', 'bad', 'i', 'hear', 'bitcoin', 'traders', 'offed', 'themselves']"
168,"['i', 'am', 'depressed', 'i', 'appreciate', 'you', 'are', 'helping', 'person']"
169,"['sooo', 'thats', 'im', 'depressed', 'single', 'ok']"
170,"['i', 'sad', 'depressed', 'want', 'do', 'not', 'anywhere']"
171,"['depressed', 'everything']"
172,"['i', 'am', 'distracted', 'depressed', 'today', 'i', 'locked', 'hous']"
173,"['im', 'depress']"
174,"['i', 'am', 'drinking', 'gin', 'tends', 'depressed', 'i', 'am', 'crying', 'little', 'total', 'eclipse', 'heart', 'bonnie', 'tyler', 'help']"
175,"['im', 'depressed', 'person', 'know']"
176,"['i', 'depress']"
177,"['wont', 'admit', 'im', 'depressed', 'bc', 'relate', 'sadness', 'amp', 'dont', 'feel', 'sad', 'music', 'doesnt', 'sound', 'good', 'anymore', 'amp', 'dont', 'comedies', 'funny', 'amp', 'motivate', 'things', 'productive', 'amp', 'oversleep', 'mornings', 'fall', 'asleep', 'night']"
178,"['holiday', 'feel', 'lonely', 'depress']"
179,"['even', 'i', 'am', 'depressed', 'i', 'hard', 'open', 'clos']"
180,['depress']
181,"['depressed', 'hous']"
182,"['i', 'admit', 'i', 'have', 'depressed', 'i', 'hit', 'wall', 'ouch']"
183,"['feeling', 'depress']"
184,"['alright', 'depress']"
185,"['i', 'am', 'depressed']"
186,"['im', 'fuckin', 'depress']"
187,"['unfortunately', 'i', 'am', 'depressed', 'u', 'notice', 'november', 'i', 'have', 'not', 'hyperactive', 'twitter', 'i', 'invest', 'time', 'looking', 'opportunities', 'abroad', 'i', 'help', 'test', 'if', 'i', 'succeed', 'extent', 'maybe', 'i', 'come', 'depression']"
188,"['depressed', 'weight', 'im', 'having', 'mulled', 'wine', 'try', 'block']"
189,"['i', 'have', 'depressed', 'it', 's', 'terrible', 'thing', 'sometimes', 'talking', 'people', 'does', 'not', 'change', 'it', 'you', 'need', 'change', 'atmosphere', 'feel', 'new', 'things', 'it', 'book', 'read', 'helped', 'me']"
190,"['am', 'i', 'actually', 'depressed', 'i', 'hungri']"
191,"['im', 'quitting', 'youtube', 'cares', 'anymore', 'im', 'going', 'issues', 'right', 'im', 'depressed', 'feeling', 'hopeless', 'i', 'started', 'cut', 'gives', 'damn', 'im', 'sign']"
192,"['went', 'doctors', 'today', 'asked', 'i', 'feeling', 'depressed', 'lately', 'lie', 'no']"
193,"['ive', 'depressed', 'life', 'last', 'night', 'worst', 'times', 'ive', 'cried', 'long', 'hurts', 'my', 'eyes', 'hurt', 'my', 'heart', 'hurts', 'but', 'i', 'know', 'better']"
194,"['feeling', 'depress']"
195,"['im', 'depressed', 'lol']"
196,"['i', 'feel', 'getting', 'super', 'depress']"
197,"['dont', 'think', 'depress']"
198,"['i', 'just', 'know', 'im', 'finna', 'be', 'sick', 'amp', 'amp', 'depress']"
199,"['stay', 'depress']"
200,"['i', 'feel', 'old', 'sad', 'depressed', 'idk', 'i', 'feel', 'bad', 'xd']"
201,"['im', 'depressed', 'w']"
202,"['im', 'depressed', 'and', 'horny', 'all', 'the', 'time', 'soooooo', 'maybe', 'anti', 'depressant', 'perfect', 'solution']"
203,"['i', 'have', 'seriously', 'gained', 'ton', 'weight', 'i', 'loss', 'i', 'swing', 'forth', 'pissed', 'depressed', 'it', 'but', 'done']"
204,"['i', 'am', 'sad', 'lonely', 'depressed', 'anxiety', 'anxious', 'tired', 'upset', 'heart', 'broken', 'me']"
205,"['is', 'bad', 'i', 'quit', 'playing', 'guitar', 'normally', 'i', 'motivation', 'i', 'slowed', 'streaming', 'i', 'motivation', 'anything', 'i', 'damn', 'depressed']"
206,"['anyone', 'feeling', 'depressed', 'pissy', 'today', 'lolol']"
207,"['wow', 'i', 'feel', 'depressed', 'af', 'yay', 'want', 'lay', 'b']"
208,"['christmas', 'finally', 'over', 'now', 'i', 'continue', 'depressed', 'norm']"
209,"['date', 'amp', 'half', 'hours', 'im', 'depressed', 'f', 'u', 'c', 'k', 'want', 'cancel', 'dont', 'want', 'let', 'mental', 'illness', 'ruin', 'life', 'pls', 'help']"
210,"['feel', 'depressed', 'moment', 'lmao', 'think', 'i', 'need', 'start', 'taking', 'medication', 'daily', 'point']"
211,"['i', 'definitely', 'binge', 'eat', 'im', 'feeling', 'depressed', 'lot', 'anxiety', 'thats', 'things', 'i', 'count', 'holidays', 'lots', 'anxiety', 'lots', 'readily', 'available', 'food']"
212,"['damn', 'im', 'trying', 'positive', 'hit', 'like', 'truck', 'im', 'depress']"
213,"['if', 'ct', 'friends', 'wanna', 'hangout', 'today', 'let', 'know', 'im', 'feeling', 'hella', 'depressed', 'want', 'company', 'i', 'think']"
214,"['sometimes', 'i', 'want', 'scream', 'family', 'do', 'idea', 'depressed', 'i', 'am', 'type', 'family', 'believe', 'mental', 'illness', 'i', 'would', 'dubbed', 'drama', 'queen', 'thrown', 'right', 'lonely', 'rhythm']"
215,"['number', 'problem', 'mine', 'im', 'clinically', 'depressed', 'introverted', 'extrovert', 'i', 'need', 'surrounded', 'purpose', 'people', 'times', 'things', 'mad', 'anxiety', 'its', 'fun', 'time']"
216,"['i', 'good', 'track', 'record', 'i', 'll', 'good', 'companion', 'trust', 'me', 'by', 'way', 'm', 'depressed', 'it', 's', 'pretend', 'otherwise']"
217,"['i', 'wonder', 'i', 'doctor', 'lately', 'i', 'feeling', 'empty', 'hungry', 'eating', 'much', 'tired', 'depressed', 'wrong', 'me']"
218,"['im', 'depressed', 'fck']"
219,"['i', 'am', 'miserable', 'even', 'though', 'holidays', 'supposed', 'happy', 'cheery', 'i', 'am', 'miserable', 'sad', 'i', 'am', 'depress']"
220,"['maybe', 'i', 'am', 'depressed']"
221,"['i', 'real', 'life', 'depressed', 'night', 'dear', 'god']"
222,"['i', 'returned', 'work', 'today', 'i', 'bored', 'and', 'depressed', 'i', 'want', 'retire']"
223,"['the', 'depressed', 'i', 'entire', 'lif']"
224,"['oh', 'im', 'depressed', 'depress']"
225,"['sick', 'depress']"
226,"['literally', 'i', 'win', 'i', 'depressed', 'miserable', 'christmas', 'finally', 'holiday', 'i', 'smiled', 'i', 'feel', 'depressed', 'miserable', 'f', 'winter', 'lif']"
227,"['i', 'dying', 'inside', 'i', 'depressed', 'tired', 'introverted', 'i', 'year', 'week', 'i', 'non', 'stop', 'spend', 'time', 'people', 'to', 'boot', 'it', 'is', 'unique', 'special', 'occasions', 'people', 'state', 'year', 'i', 'cannot', 'bail']"
228,['depress']
229,"['mean', 'happy', 'memories', 'year', 'cannot', 'remmeber', 'year', 'felt', 'depressed', 'miserable', 'there']"
230,"['im', 'going', 'single', 'fuck', 'depressed', 'fuck', 'jobless', 'weeks', 'christmas', 'recently', 'lost', 'family', 'member', 'huge', 'issues', 'social', 'anxiety', 'motivation', 'so', 'honestly', 'im', 'ready']"
231,"['im', 'depressed', 'gotta', 'start', 'over', '0', '9', 'rip', 'outfits', 'had', 'salmon', 'run', 'shiz', 'gone', 'lt', '3']"
232,"['told', 'husband', 'depressed', 'asked', 'diagnosed', 'me', 'lol', 'understood', 'ppl', 'bottle', 'depressed']"
233,"['when', 'i', 'tell', 'people', 'i', 'am', 'feeling', 'depressed', 'they', 're', 'like', 'ohh', 'noo', 'why', 'maybe', 'it', 'is', 'it', 'is', 'mental', 'illness', 'susan']"
234,"['i', 'depress']"
235,"['i', 'usually', 'reply', 'sike', 'i', 'am', 'depressed']"
236,"['part', 'feeling', 'seriously', 'depressed', 'wants', 'ugly', 'wants', 'seriously', 'drunk', 'high']"
237,"['im', 'happy', 'family', 'sisters', 'i', 'fucking', 'depressed', 'im', 'glad', 'sunny', 'least', 'im', 'just', 'fucking', 'man', 'seriously']"
238,"['i', 'b', 'depressed', 'ya', 'gurl', 'making', 'moves']"
239,"['the', 'best', 'depressed', 'holidays', 'having', 'drive', 'son', 'school']"
240,"['im', 'ready', 'new', 'year', 'im', 'ending', 'year', 'lot', 'depressed', 'i', 'started', 'it', 'ive', 'learned', 'lot', 'now', 'ive', 'learned', 'bett']"
241,"['dont', 'know', 'im', 'depressed', 'i', 'actually', 'want', 'cut', 'bangs']"
242,"['i', 'am', 'sad', 'lonely', 'depressed', 'anxiety', 'anxious', 'tired', 'upset', 'heart', 'broken', 'me']"
243,"['i', 'dont', 'know', 'paid', 'debts', 'n600k', 'great', 'family', 'house', 'issues', 'great', 'job', 'why', 'fuck', 'i', 'depress']"
244,"['feeling', 'depress']"
245,"['i', 'depressed', 'knew', 'i', 'crying', 'morning', 'afternoon', 'night', 'not', 'mother', 'brothers', 'live', 'roof', 'seeing', 'time', 'fact', 'i', 'happy', 'depression', 'explainable', 'jar']"
