,tweet
56,congratulations hope you are proud self lib 
57,you sweet beautiful soul hope you are okay i am seeing tweets now 
58,saw now i am okay it is worst time year me i am good head space miss chats too 
59,i thinking th
60,hi sweetheart i have missed you 
61,depression is not choice becaming educated help think
62,oh okay yep worries 
63,pleasure sweetheart 
64,it s loss sweetheart 
65,everything difficult you are dark depression kind yourself 
66,beauti
67,i m tired this body tired mind mess want lay bed up i m tired life 
68,fxcking rude 
69,okay me no okay 
70,m
71,pp o ou u
72,ou s ms o o m
73,yep too that s i do not tweet
74,those good health they do not cure mental illnesses 
75,i m sick making things worse i m sick hurt i m sick crying sleep im sick hating i m sick faking smile i m sick feeling way im sick letting people i m sick me 
76,yes i agre
77,living depression anxiety motivation leave bed dreading leaving house able unable new friends paranoid restless mentally hurting zoning lot ignoring peopl
78,you re beauti
79,so sorry happened you i thise kind people 
80,sorry fucked up sorry failure sorry disgrace sorry me 
81,write long message halfway you are like you know what do not care end deleting it 
82,you are truly worthless you are bound feel way you are deep depression change meds 
83,you are severely depressed taking shower effort do not hard yourself 
84,times feels it is going ease up 
85,simply stun
86,beauti
87,im tired go sleep no dont understand 
88,hide want seen strong person time though hate notices broken are 
89,i am sorry know you are struggling i am want talk
90,yes exactly 
91,thats old twitter you had s backing twitters anymor
92,yeah came like bunch dogs i called account making jokes 
93,missed tweet storm bunch haters word i have send screen shot
94,thank i am blessed kind word
95,i need it reality probably minute lol
96,well insult pag
97,people tend pick weak think 
98,miss chats hope you are okay sweetheart
99,miss lov
100,im
101,pain i know
102,love caused pain
103,i want disappear
104,it hurts much im sorri
105,my heart shatt
106,im good
107,if i stop missing i
108,sad
109,i miss
110,i dont think i let
111,the thought keeps night
112,lately ive trying peace loneliness nights consum
113,ive trying hard create better life i feel exhaust
114,why i unlov
115,this world makes feel
116,life sucks break
117,i lay bed hours thinking i wanna sleep
118,it scares things start going 
119,i honestly w
120,im hopeless
121,why i h
122,i wanna sleep tbh
123,im exhausted pain drug
124, lately ive trying i havent able dms i wanted apologize im feeling okayish now 
125,nah situation specifically driving crazi
126,all thoughts consum
127,i feel like i know
128,i feel like im drift
129,i feel stuck i wanna lif
130,really close break
131,i didnt ask
132,im wasting life away
133,its rough tbh
134,then strive better when hit lowest point choice trying climb stay youre we face hardest battles alone stronger learn try happiness product way life choic
135,sometimes i wonder i exist
136,everyday th
137,i wanna youre struggling right going im proud deserve recognition trying times hard youre stronger think
138,i want escape r
139,ive sleep
140,i apologize tears i wish i differ
141,life stress
142,im proud you keep going 
143,yall gonna
144,not feeling like l
145,i want i appreciate you thank existing i know rough arent think 
146,i havent able bed l
147,im sorry im
148,i energy left
149,i leave ghost i lov
150,i try hard strong
151,i honestly do not know long i living lik
152,my life crashing i watch
153,too numb
154,nights like hurt
155,i having pretend im okay im
156,im sick
157,all i want youl
158,insecurities eat al
159,feeling makes scar
160,why i situ
161,i living lik
162,the thing im good critic
163,its hard hope things anymor
164,i feel insid
165,please dont break heart
166,i wish thoughts stop tear
167,im lost
168,im heartless
169,why i right
170,im tir
171,bad thoughts persuasive accurate 
172,i cause people pain
173,pierce broken promise ill bleed reasons deserve ch
174,i ripped piece smil
175,being broken i know
176,all flaws i
177,letting pain
178,i live worst fear everyday
179,why talk youre bor
180,addicted pain feel
181,i feel like im good
182, 
183,its love its love its love its love its love its love its love its lov
184,missing makes feel miser
185,you promised wouldnt forget
186,no care i disappear
187,i dont want exist anymor
188,i wish miss
189,i know i do not personally write alot need goodbye i removing account phone i need life i hope place happy live thank everything cq
190,why i sad
191,no person hate i h
192,constantly tir
193,come let us watch rain it is fal
194,i live anymor
195,felt
196,numbness consuming ga
197,i havent felt like long im forgetting i ga
198,i feel things ga
199,i wanna live life feeling like im broken ga
200,tired alive 
201,i feel alone as always 
202,still depressed 
203,there s i need someone 
204,at point shits given 
205,just want care on 
206,when you are tired cannot sleep 
207,talking walls 
208,i do not belong here 
209,staring ceiling wondering i end all 
210,sometimes hurts bad cannot breathe 
211,just admit it wants me 
212,i feel uglier uglier everytime i reflection myself 
213,i know i am irrelevant 
214,have stood shower break down walked like happened 
215,mirror mirror wall ugliest all me 
216,i hate much 
217,i feel suffocated 
218,isolated this new me 
219,when it is hurting much lie stare ceiling 
220,just wasn t shown does not mean did not hurt 
221,it ll okay stay strong feel falling apart 
222,drowning 
223,i want disappear 
224,dreadful far 
225,i want isolate 
226,i draw draw draw distract pain i am feeling 
227,everytime 
228,you ll understand pain i felt 
229,same shit again 
230,not okay 
231,breathing living 
232,i want leave i am broke anywhere 
233,they promised leave left 
234,nothing i good huh you 
235,sorry burden 
236,i cannot stop suicidal thoughts day they ll over 
237,if i it i would but words cannot come out 
238,overthinking overthinking overthinking sleep 
239,no motivation anything 
240, 
241,everytime i trust someone break trust 
242,it hurts list but again is not always 
243,emptiness just pure emptiness 
244,you re better me the thought painful it is truth 
245,everyone better me 
246,crossing roads hoping car run over 
247,even claims love me ignores me be text face to face that s irrelevant i am 
248,apparently presence needed i mean i am invisible anyway 
249,high expectations lead bigger disappointments 
250,this world better me 
251,invisible that s i everyone 
252,too tired breathe anymore 
253,i do not want stay anymore it is like notice i am gone 
254,i want burst tears i got hold fake smile 
255,they treasure time spent you are gone otherwise you are taken granted 
256,i want disappear come back it s like needed anyway 
257,i cannot trust 
258,they told understood you are depressed but time time again depressing told needed happy so i am guessing they d fake happy you 
259,yes i hate myself and i do not need remind me 
260,thoughts you are gonna kill day 
261,my brain cannot shut up 
262,you everyone 
263,i feel alone i alone 
264,i will push away you you will leave eventually 
265,reality check avoiding social media distracting stuff makes feel alone 
266,numb 
267,people you are gone granted you are not 
268,you ll you re feeling down 
269,i need stop eating 
270,feel numb 
271,the i know i hurt you i will push away 
272,new year new problems 
273,lying down staring ceiling hours 
274,i do not want me i would not want either 
275,i am tired bullshit 
276,my thoughts loud 
277,sometimes you you will let tears flow stare ceiling 
278,toxic thoughts 
279,you do not need me don t lie me 
280,i wished cared notice i am okay 
281,brain stop thinking heart stop feeling 
282,please head 
283,i will better i will better 
284,insomnia my best friend 
285,the voices they re loud i cannot sleep 
286,i push away it s i do i cannot help it i hate me 
287,yes i am thanks checking me 
288,the feeling actually feeling heart break snapped shattered million pieces feel numb afterwards but it is fine right as always 
289,waste space i want stop existing 
290,maybe you i exist i stand right you but me i am not my mind is not vessel i am there did not notice 
291,everyone describes happy go lucky if knew but i would not want enter mind you ll lose just like i did 
292,words words 
293,no matter i try positive i will negative depressed me it works 
294,please stop pain 
295,everyone leaves die need benefit 
296,everything going shit 
297,everyday 
298,i sleep lot escape painful thoughts 
299,invisible everyone 
300,gonna time social media
301,today horr
302,
303, hate myself 
304,simply want al
305,girlfriend broke night
306,grandpa passed away
307,grandpa hospice today said hes probably going pass tonight tomorrow
308,cut friends ask im heartless i turn ask leave dark
309,ready death
310,days i wonder i bothered bed shouldve stay
311,im sad
312,i start think suicide way
313,psa 
314,self aware bad thing rn
315,idk longer i hang
316,friends demons hopes leav
317,thank u
318,i reached boss didnt respond
319,im falling apart
320,therapist finally called today week
321,i feel like shit
322,day called definitely isnt go
323,therapist blew today supposed phone appt didnt call 
324,going meds cuz im bad
325,like anybody cares i missing lol
326,sorry i missing days depressed tweet
327,true
328,gets bett
329,constant self sabotag
330,havent 
331,i stopped meds bad anxiety attack im tak
332,accidentally slept straight hour
333,coronavirus bullshit cancelled therapy sessions weeks im di
334,i dont wanna al
335,dont wanna meds anymor
336,im gonna stop taking m
337,i am turnin grey it is good it is nothin new i will bounce right i sink again that s i do 
338,i dont wanna al
339,deep i urge kill i feel like i talk i
340,idk i bothered today i shouldve slept day
341,i sleep day
342,mentally psychically emotionally tired 
343,meds got changed today
344,things sick of 
345,lol better 
346,fuck
347,damn im
348,crying sleep
349,wow im okay
350,i got rid blades today i wish i didnt
351,life keeps getting wors
352,matter i im constantly fucking depressed end day
353,i productive today i feel like shit
354,i wake i wish i didnt wak
355,pain goes dont think
356,thank
357,dad friday cancer told today
358,im okay
359,i drowning flashback
360,everybody leav
361,i hate im afraid stupid shit like partner isnt gonna dump im freak
362,im insecur
363,im burden
364,i will end hurt
365,like youve got turn to ever good new
366,i dont best friend anymor
367,i wish i friend
368,bad day
369,head hurt
370,trigger
371,worth cut anymore id di
372,theres literally point living lol i wish i didnt fuckin fail
373,actually wanna end all idk keeps here 
374,i wanna come meds point theyre good
375,i feel like absolute shit
376,forgot meds today
377,idk im scared partner gonna leav
378,i wanna di
379,i bottled i dont wanna talk therapist
380,i want cancel plans sleep forev
381,i feel lik
382,grandma dying relationship dont know i feel
383,i shit go
384,overwhelm
385,grandma brain aneurisms right now dont know i feel we dont speak
386,shit day
387,advice i med appt coming idk do im kinda okay rn bc i surgery bc i started seeing partner idk i change meds i meds long im autopilot 
388,therapist wants work trauma yik
389,sleep
390,i dont care anymor
391,im ready throw away
392,theres l
393,fucking upset
394,contempl
395,shit night awak
396,fuck world
397,sick liv
398,sick having friend
399,bad nightmares night
400,love
401,im numb
402,im
403,im tir
404,im sorry fuck
405,chapter life sentence yours 
406,going live twitter thing it guys like talk it 
407,hey guys snap feel free add come chat
408,maybe werent right person wrong tim
409,reason go
410,hurt
411,ill forget happi
412,awh ill new game later 
413,code ubgowq
414,code ubgowq
415,code ubgowq
416,game play rn 
417,im okay everyone needed tim
418,fuck
419,okay hope fight
420,ill okay dont worry ab
421,cari
422,time
423,feel free dm us talk want feel battle 
424,u need talk dms open
425,stay
426,theres save anymor
427,hurt me i miss
428,im giv
429,lol drank body weight vodka tonight
430,im sad anymore numb
431,im gonna free soon
432,hurts knowing tried best wasn t good
433,love real 
434,enzo
435,believ
436,want old
437,happy birthday 
438,got
439,fucking it lived 
440,meant hurt
441,im tired tir
442,yay congrats baby im happy you 
443,die know friend
444,im sorry hurt
445,lost
446,whisper ear
447,stay us 
448,need u
449,suicidal people angels want hom
450,good idea assume says depression it know words affect someone mean
451,dont
452,anonymous account talk feelings youre saying people depression hide youre wrong point hide anymore wanna come hate feel free dont assumptions 
453,wanna away forev
454,im sorri
455,love dont w
456,hurt like hurt
457,
458,ill run everytim
459,dont hurt lik
460,youre perfect me 
461,whats wrong me 
462,barney taught love youll love wanna fuck lying purple dinosaur
463,maybe fall love sadness itll leav
464,
465,miss old
466,thank dont worry comments trying account
467,hey everyone hacked tho comments post trying figure got account
468,big life youre gone 
469,wanna happi
470,promises turn apolog
471,numb pain expense liv
472,say 
473,pain wont away 
474,year old self disappointed today 
475,dont know im
476,drink drown pain pain learned swim
477,im giv
478,blame things arent fault
479,love
480,thank happiest year life 
481,dont watch yt
482,hurt apologized 
483,knew love hurt much 
484,enough 
485,shit hits harder night 
486,realize people stay heart lif
487,fuck smoking weed healthy relationship lets smoke joint 
488,im perfect like w
489,late come now 
490,hate feeling im surrounded peopl
491,comes back dont forget broken left 
492,chapter dont read loud
493,time sure met you 
494,walking away relationship love person hardest things ever 
495,need right
496,toxic trait care people probably dont think twic
497,dont realize attached talking bit
498,hey guys discord come chat 
499,ill
500,no i do not think so i am stressed mind depressed 
501,i know i am useless i am failing college i am depressed i cannot simple thing anxiety i am dissapointment there s thing i will proud life i die fight support kindness races genders lgbtq 
502,even i depressed little shit i tru
503,the silence depressed me it wasnt silence silence it silence 
504, i am depressed study i study minut
505,lol rly sucks depressed especially holiday
506,maybe wouldnt depressed airpod
507,i hate depress
508,tbh they re number i chose spotlight because it is happy living it up because i am depressed btch safdg546sdasda but livin it up hyped af 
509,me watching knowing depressed ass immun
510,super mega depress
511,in end i severely depress
512,me feeling particularly depressed anxious general i do not know me putting random episode it is alive i cannot relax feel joy brad says wourder me immediately 
513,feeling kinda depressed today imposter syndrome kicking ass don t think art good inspiring just feeling bad 
514,im depress
515,depress
516,obsessed depressed time 
517,im depressed amp sad idc comment bad good shit interact
518,and im depressed achieved year younger i am dam ridiculous talent if i didnt completely love id probably hate fit jealous rage 
519,i tell im going depressed mood fluctu
520,feeling depressed going work day
521,feel depressed reason honestly jok
522,although i did not christmas nice feel normal day rather sad depressed that good day me 
523,oh i kill myself it s cold long ky now in depressed it is summer i day i am gonna az like years i think
524,i needed good laugh depress
525,kinda depressed gf isnt coming surgery tmr
526,thing i different i am depressed i smoke weed amp watch black mirror instead cooking videos youtub
527,well im depress
528,i am depressed touring hard boring i am going tour again 
529,tag im cause life mess im depressed lmao yeet
530,feeling depress t truly epic 
531,i depressed fuck especially months i didnt realize emotions ive suppressed i miss nana yo 
532,why i feel depressed tim
533,im depress
534,ive depressed lately i try best it 
535,is able remove hip i pain it makes fucking depress
536,okay okay thanks holidays i feel tired bloated exhausted migraines fat anxiety overload stressed lazy depressed etc thanks minis i dont
537,i depressed point i m literally walk bitch 
538,advice kinda look better question depression got types ugly need easy things look not as depressed lol
539,friends school hoe honestly i didnt care bullying i embarrassed everybody seen naked i super insecure body i lonely fuck i nobody i terribly depressed 
540,when i am depressed i do not eat i sleep much not enough i love weed forces eat matter i am feeling plant based meds gift god 
541,it makes angry look mirror i look anyway and know i see depressed person tir
542,do not understand works went super excited depressed seconds did not move like happen
543,i got car told newspaper did not need sports section sports reporter anymore 2 years mental torture depressed hell cut car on turned radio playing made feel like i going it 
544,i m depressed are not i 
545,i havent felt depressed very long time 
546,im depressed man
547,bruh super depressed super fun 
548,havent taken decent selfie minute niggas depressed lol
549,a litrle depress
550, can t wait home amp bed amp depress
551,do u feel depressed reason depressed time because thats i feel right now 
552,i know thing i never long distance relationship ive boyfriend days im depressed 
553,year depressed holidays i depressed af thanksgiving i barely ate yesterday i happy watching daughter open gifts little i went right sulking ugh
554,im anorexic im depress
555,it s days i drained physically work amp mentally after i wish things better i am afraid i hopes high amp start looking up they ll crash amp burn like time before 
556,i totally point but also i share experience mental health parents i reminded difficult depressed daughter do not deserve one essentially shut well and hurts 
557,sick depress
558,nobody i am just depressed i think
559,semi related notes i have not uploaded i have recently i am tad depressed 
560,thanks i appreciate it as i felt worse i slowly cut others typical folks who re depressed amp feeling well when i got sick friends came help just knowing you have got people want stick huge difference 
561,me i am depressed i cold busy i need time things like cooking cleaning hard i frozen me doesn t eat often uses dish possible til washing dishes avoids socializing fairly often good days rly good bad days rly bad 
562,well learned i knew today i fibromyalgia my pain unbelievable im sure i work live i stressed depressed i dont want conscious right now 
563,not happy job company colleagues have not pass probation feel depressed everyday colleagues unfriendly politics lost confidence i could not control emotion should i change job hold it please advic
564,sorry took long everyone busy depressed lmao
565,im depressed fuck age wow lov
566,havent work like weeks n super depressed cba
567,i feel depressed again so i stay bit away account see day 
568,that is not true i have depressed suicidal but i life party but i wrote suicide note i did not kill cos i am scared hell i killing pain but damn i wanted go but i fun then but deep i bleed
569,i guess i depress
570,crying amp depress
571,super depressed atm im living end
572,aint depressed ina minute lol
573,year disclaimer not i remain depressed eternity 
574,i sad i dont know why im depressed i wouldnt joke depressed issue i genuinely feel sad sometimes 
575,annnddd i am depressed again 
576,i better vegan i sorru i depressed rn
577,gaining happy weight depressed eat thats im gaining weight 
578,i hate clinically depressed feel attacked reason the little things trying outlet makes point feel like cannot breathe its like half time dont know ur truly happi
579,feel getting depressed fuck
580,i got depress
581,me im aaaalllll natural naturally depressed naturally anxious naturally awkward a handle mess
582,im depressed i blink 
583,the holidays feeling super lonely super depressed i friends time i think i making i am reminded i should not hopes up 
584,force tell psychiatrist seriously feel like im depressed want stop calling anxieti
585,fucking hate depress
586,lord i need shake depressed state 
587,im actually trying fun im sitting feeling depressed af
588,ive depressed i guess
589,depressed cap
590,going hard i am depressed struggling suicidal thoughts eating disorder swear i ll try better i better achieve better results school work lena fucking together 
591,i feel i depressed 
592,my mom say what depressed about you do not know depressed i told i wanted therapy she laughed called crazy i stopped opening anything 
593,i love depressed year old man constantly antagonistic brain worms eating remaining serotonin supply i
594,i ve sleeping lack energy body feels weak have not depressed lately like i ve definitely felt worse idk what is going lol
595,honestly i extremely depressed season no family around school work outlet relieved it is hoping mental state control 
596,want somebody side somebody knows know somebody admires way am happy couples friends telling dates makes feel depressed instead happy im terrible person
597,does notice time instagram makes feel depressed and i fine minutes ago 
598,dont understand im depressed tonight
599,someone i saw time years told i depressed guy i i have depressed since 
600,lol im pretty depressed atm
601,im complicated like saying im gonna deep wants person tell stay discuss whats making depressed like woooah im needy damn
602,feel fucked up depressed useless wanna sleep wake again 
603,lol moving college normal adult life well i am longer depressed i live constant state anxiety 
604,im depressed 
605,i tell i am sleepy bc i am sick seasonally depress
606,praise goooood hallelujah i am depressed at war conscience paranoid cannot shit
607,i am depress
608,in months i extremely low depressed absolutely right it doesnt mean weak in fact thing i learnt i stronger i thought i was thanks sharing 
609,no idea i depressed out 
610,i havent shit days didnt work obligations im kinda losing mind lol im glad house massive i depress
611,im emotionally unstable depressed stressed mf
612,i feel im depressed day year 
613,depress
614,now christmas i depress
615,i remember stuck slump depressed af there 
616, i depressed i kid i raised abusive house 
617,depressed fuck where love at 
618,im depressed 
619,i want yall know im depressed but im grateful i able live handful tim
620,home makes depressed im go
621,stressed amp depress
622,praisegod hallelujah im depress
623,my parents tell i reason depressed anxious i dont know thing it years countless bad days multiple professional diagnoses handful stays hospital mean i guess
624,i depressed game i gotta i wanna know friend
625,im needy rn im super depress
626,im depressed i wanna high listen great fuckin music me 
627,every time im depressed i legit watch movie myself today bumblebe
628,god im depress
629,i am just depressed i love too its beginning look lot like depress
630,no thats im depressed lon
631,iiiiii depress
632,depressed fuck
633,depressed tired nobel me 
634,im psycho smart depressed scary combination i worried i handle certain situ
635,im bath drowning wine im supposed drink like two cousins siblings announced night theyre having babies im depressed when turn 
636,i have bed day feeling super depressed shit ugh
637,my physical mental health getting worse past days i do not know what is happening i am super depressed anyways i am probably going delete tweet hour it is stupid
638,i love feeling self destructive depressed midnight and wanting die i looooove it
639,am i actually depressed i listening bottoms 
640,feel like i m drowning truly blessed time i m depressed smack fac
641,hi i am depressed i do not want leave bed like ever 
642,offense byt im depress
643,some depressed christin
644,ive depressed heckkkk amp social anxiety force i able force gym 
645,shits happen
646,i m depress
647,i need draw im tiiiiiired sorta depressed thats point
648,getting drunk deeply depressed amp sitting dark room night going 
649,it lil bit depressed now dont mind
650,aint pill world gone stop depressed ass kil
651,depressed depress
652,i love family i depressed amp unmotivated i stay augusta longer week 
653,i do not think i have depressed worried year i thought i would feel like again 
654,im big depress
655,is normal moods switch fast happy depressed or time year 
656,been this depressed in a very very very long time might b dying stay tuned ex bf post public ment
657,the way ive eating today im depressed come on both options suck 
658,cant explain depressed i fact im im work tomorrow
659,feel depressed work tomorrow
660,depress
661,i am fucking depressed i hate there s reason wtf but i reach help of course bc i am dumbass
662,depressed lonely horni
663,i cried like 7 times time feel insecure depressed anxious 
664,also i depressed i tir
665,i fucking depress
666,im depressed gay
667,arms numb drinking week depressed gym past clean system bank account negative not bad i hear bitcoin traders offed themselves 
668,i am depressed i appreciate you are helping person 
669,sooo thats im depressed single ok
670,i sad depressed want do not anywhere 
671,depressed everything 
672,i am distracted depressed today i locked hous
673,im depress
674,i am drinking gin tends depressed i am crying little total eclipse heart bonnie tyler help
675,im depressed person know
676,i depress
677,wont admit im depressed bc relate sadness amp dont feel sad music doesnt sound good anymore amp dont comedies funny amp motivate things productive amp oversleep mornings fall asleep night
678,holiday feel lonely depress
679,even i am depressed i hard open clos
680,depress
681,depressed hous
682,i admit i have depressed i hit wall ouch
683,feeling depress
684,alright depress
685,i am depressed 
686,im fuckin depress
687,unfortunately i am depressed u notice november i have not hyperactive twitter i invest time looking opportunities abroad i help test if i succeed extent maybe i come depression 
688,depressed weight im having mulled wine try block
689,i have depressed it s terrible thing sometimes talking people does not change it you need change atmosphere feel new things it book read helped me 
690,am i actually depressed i hungri
691,im quitting youtube cares anymore im going issues right im depressed feeling hopeless i started cut gives damn im sign
692,went doctors today asked i feeling depressed lately lie no 
693,ive depressed life last night worst times ive cried long hurts my eyes hurt my heart hurts but i know better 
694,feeling depress
695,im depressed lol
696,i feel getting super depress
697,dont think depress
698,i just know im finna be sick amp amp depress
699,stay depress
700,i feel old sad depressed idk i feel bad xd
701,im depressed w 
702,im depressed and horny all the time soooooo maybe anti depressant perfect solution 
703,i have seriously gained ton weight i loss i swing forth pissed depressed it but done 
704,i am sad lonely depressed anxiety anxious tired upset heart broken me 
705,is bad i quit playing guitar normally i motivation i slowed streaming i motivation anything i damn depressed 
706,anyone feeling depressed pissy today lolol
707,wow i feel depressed af yay want lay b
708,christmas finally over now i continue depressed norm
709,date amp half hours im depressed f u c k want cancel dont want let mental illness ruin life pls help
710,feel depressed moment lmao think i need start taking medication daily point 
711,i definitely binge eat im feeling depressed lot anxiety thats things i count holidays lots anxiety lots readily available food 
712,damn im trying positive hit like truck im depress
713,if ct friends wanna hangout today let know im feeling hella depressed want company i think
714,sometimes i want scream family do idea depressed i am type family believe mental illness i would dubbed drama queen thrown right lonely rhythm 
715,number problem mine im clinically depressed introverted extrovert i need surrounded purpose people times things mad anxiety its fun time 
716,i good track record i ll good companion trust me by way m depressed it s pretend otherwise 
717,i wonder i doctor lately i feeling empty hungry eating much tired depressed wrong me 
718,im depressed fck
719,i am miserable even though holidays supposed happy cheery i am miserable sad i am depress
720,maybe i am depressed 
721,i real life depressed night dear god
722,i returned work today i bored and depressed i want retire 
723,the depressed i entire lif
724,oh im depressed depress
725,sick depress
726,literally i win i depressed miserable christmas finally holiday i smiled i feel depressed miserable f winter lif
727,i dying inside i depressed tired introverted i year week i non stop spend time people to boot it is unique special occasions people state year i cannot bail 
728, depress
729,mean happy memories year cannot remmeber year felt depressed miserable there 
730,im going single fuck depressed fuck jobless weeks christmas recently lost family member huge issues social anxiety motivation so honestly im ready 
731,im depressed gotta start over 0 9 rip outfits had salmon run shiz gone lt 3
732,told husband depressed asked diagnosed me lol understood ppl bottle depressed 
733,when i tell people i am feeling depressed they re like ohh noo why maybe it is it is mental illness susan 
734,i depress
735,i usually reply sike i am depressed 
736,part feeling seriously depressed wants ugly wants seriously drunk high 
737,im happy family sisters i fucking depressed im glad sunny least im just fucking man seriously 
738,i b depressed ya gurl making moves 
739,the best depressed holidays having drive son school 
740,im ready new year im ending year lot depressed i started it ive learned lot now ive learned bett
741,dont know im depressed i actually want cut bangs 
742,i am sad lonely depressed anxiety anxious tired upset heart broken me 
743,i dont know paid debts n600k great family house issues great job why fuck i depress
744,feeling depress
745,i depressed knew i crying morning afternoon night not mother brothers live roof seeing time fact i happy depression explainable jar
746,been bad year doc havent hit target markets harsh uncertain im depressed take break charts the great shitposter pick memes trader bursts tears but doc i great shitposter i mem
747,imma real man depressed im
748,mom called depressed suicidal teenager i have felt like shit life 
749,now im depressed wana bed lol
750,id like nice depressed probably fit
751,depress
752,confusing depression loneliness depressed im lonely 
753,definitely depress
754,depressed af
755,i dont feel mentally calm stable work counselling want crawl bed got hrs im work
756,rp im bored depress
757,everyone thinks im living best life ima honest shit sucks complete ass tired depress
758,when i depressed 
759,sucks depressed but isolate guess
760,tomorrow it is just thinking makes feel exhausted anxious depressed in likelihood i is not close i studied hard for i feel like failure i am sorry i out 
761,did not feel like holidays probably i slightly depressed time cannot wait new year amp slumpy rut i m in 
762,one thing i hate depressed suicidal family feels pick choose information think i handle 
763,im depressed im lolnely im tired i wanna fucking die i hate my life and no one cares about me fuck m
764,depress
765,i do not know fucking useless talking does not anything i do not know do i do not feel i am risk myself cripplingly depressed i want feeling way do not know how 
766,i depressed amp bitter couple years but i am wok
767,i depressed monday somebody funk
768,what supposed exhausted want days fast possible feel like piece shit depressed sleep
769,shit know im depressed shit
770,watching i m depressed af
771,anddddd im depressed 
772,i miss christmas i think im actually depress
773,i believe im going depressed fuck damn
774,im depress
775,im depress
776,i am sad depressed it is funny anymor
777,depress
778,i depressed easily little things set off but i i talk to 
779,depressed bipolar borderline personality disorder image having traits pass
780,too anxious too depressed digging deeper deeper familiar hol
781,to honest ive pretty depressed i took medicin
782,so constant urge light come deeply depressed autistic person spending time social media nobody knows 
783,depressed bed alone company numb
784,depress
785,i depressed af vibe way good i wont let problems fuck you live happy life man enjoy shit lord knows i wouldnt want bring high so dont worry me enjoy 
786,no i in huff no i am sensitive today i am depressed i am consumed building rage patronising helping 
787,i am sorry depressed ass
788,i do not talk lot people anymore more depress want something 
789,i am depressed thinking abt birthday lol
790,depressed piss
791,lol ma brithday im depressed cause wanted born hurt life have dont want it 
792,telling work im sick dont figure depressed i
793,i knew i reaaaally depressed i slept day christmas 
794,i am depress
795,tbh probably depress
796,so fuckin depress
797,depress
798,im surprised im feeling bit depressed today i wanna lay bed possibly hour two maybe ill family gone 
799,idk im depressed pmsn pregnant definitely go
800,depress
801,i do not know i tweet this i feel like writing what is going head help me 12
802,work i got break making depressed 
803,whats depressed bitch gotta held
804,i am depressed today hurt total wreck general i need better living 
805,im controled random different circumstances feel fucking depress
806,i am depressed huggu someone 
807,well i woke depressed asf lol
808,depressed whats new
809,imagine able cease depressed i
810,depressed lik
811,so depressed lol
812,im depress
813,felt depressed unwish live sad music help much how long i it 
814,im depressed idek
815,stressed depressed need advice hear dm the convo
816,just frustrating im depressed anxious i reason be cba
817,why i depressed angry time 
818,depressed reading tweets like depressed smil
819,way family event and im depress
820,depressed 7
821,im depressed loved noticed liked me dont know tbh el ryal mb m39oob dam ma y7bch w gb gulo men players men trash real silly girls fuck m
822,depressed talk
823,i want im depressed rn
824,my brain broken like i do not know i have depressed years i bang updated resume recruiter i showered clothes like goddamn adult 
825,depress
826,i am wondering depressed i want life may stage dear jesus 
827,i depress
828,been nice depressed nearly years comes territory point 
829,depress
830,finally shaved looks like im depressed actu
831,feel depressed reason today smh
832,depress
833,depressed definitely depressed 
834,depressed af man 
835,gay depressed anxi
836,i want happy im tired depressed sad time 
837,what im depressed i suck 
838,o fuck im depressed 
839,idk anymore getting depressed sitting room crying second im work
840,i am point i do not mad i fail i depressed 
